; Quintessential Latin 0.220; proposed private-use allocation, not a registration.
F2A00	QUINTESSENTIAL LATIN LETTER BOWL
F2A01	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL
F2A02	QUINTESSENTIAL LATIN LETTER OPEN BOWL
F2A03	QUINTESSENTIAL LATIN LETTER TURNED OPEN BOWL
F2A04	QUINTESSENTIAL LATIN LETTER DOUBLE OPEN BOWL
F2A05	QUINTESSENTIAL LATIN LETTER TURNED DOUBLE OPEN BOWL
F2A06	QUINTESSENTIAL LATIN LETTER SPINE
F2A07	QUINTESSENTIAL LATIN LETTER STEM
F2A08	QUINTESSENTIAL LATIN LETTER ASCENDER
F2A09	QUINTESSENTIAL LATIN LETTER HOOK
F2A0A	QUINTESSENTIAL LATIN LETTER DESCENDER
F2A0B	QUINTESSENTIAL LATIN LETTER LONG STEM
F2A0C	QUINTESSENTIAL LATIN LETTER LONG HOOK
F2A0D	QUINTESSENTIAL LATIN LETTER TAIL
F2A0E	QUINTESSENTIAL LATIN LETTER LONG TAIL
F2A0F	QUINTESSENTIAL LATIN LETTER LONG SPINE
F2A10	QUINTESSENTIAL LATIN LETTER STEM WITH SHOULDER
F2A11	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SHOULDER
F2A12	QUINTESSENTIAL LATIN LETTER HOOK WITH SHOULDER
F2A13	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SHOULDER
F2A14	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SHOULDER
F2A15	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SHOULDER
F2A16	QUINTESSENTIAL LATIN LETTER HIP WITH STEM
F2A17	QUINTESSENTIAL LATIN LETTER HIP WITH DESCENDER
F2A18	QUINTESSENTIAL LATIN LETTER HIP WITH TAIL
F2A19	QUINTESSENTIAL LATIN LETTER HIP WITH ASCENDER
F2A1A	QUINTESSENTIAL LATIN LETTER HIP WITH LONG STEM
F2A1B	QUINTESSENTIAL LATIN LETTER HIP WITH LONG TAIL
F2A1C	QUINTESSENTIAL LATIN LETTER STEM WITH BOWL
F2A1D	QUINTESSENTIAL LATIN LETTER ASCENDER WITH BOWL
F2A1E	QUINTESSENTIAL LATIN LETTER HOOK WITH BOWL
F2A1F	QUINTESSENTIAL LATIN LETTER DESCENDER WITH BOWL
F2A20	QUINTESSENTIAL LATIN LETTER LONG STEM WITH BOWL
F2A21	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH BOWL
F2A22	QUINTESSENTIAL LATIN LETTER BOWL WITH STEM
F2A23	QUINTESSENTIAL LATIN LETTER BOWL WITH DESCENDER
F2A24	QUINTESSENTIAL LATIN LETTER BOWL WITH TAIL
F2A25	QUINTESSENTIAL LATIN LETTER BOWL WITH ASCENDER
F2A26	QUINTESSENTIAL LATIN LETTER BOWL WITH LONG STEM
F2A27	QUINTESSENTIAL LATIN LETTER BOWL WITH LONG TAIL
F2A28	QUINTESSENTIAL LATIN LETTER STEM WITH LEG
F2A29	QUINTESSENTIAL LATIN LETTER ASCENDER WITH LEG
F2A2A	QUINTESSENTIAL LATIN LETTER HOOK WITH LEG
F2A2B	QUINTESSENTIAL LATIN LETTER DESCENDER WITH LEG
F2A2C	QUINTESSENTIAL LATIN LETTER LONG STEM WITH LEG
F2A2D	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH LEG
F2A2E	QUINTESSENTIAL LATIN LETTER ARM WITH STEM
F2A2F	QUINTESSENTIAL LATIN LETTER ARM WITH DESCENDER
F2A30	QUINTESSENTIAL LATIN LETTER ARM WITH TAIL
F2A31	QUINTESSENTIAL LATIN LETTER ARM WITH ASCENDER
F2A32	QUINTESSENTIAL LATIN LETTER ARM WITH LONG STEM
F2A33	QUINTESSENTIAL LATIN LETTER ARM WITH LONG TAIL
F2A34	QUINTESSENTIAL LATIN LETTER STEM WITH LONG LEG
F2A35	QUINTESSENTIAL LATIN LETTER ASCENDER WITH LONG LEG
F2A36	QUINTESSENTIAL LATIN LETTER HOOK WITH LONG LEG
F2A37	QUINTESSENTIAL LATIN LETTER DESCENDER WITH LONG LEG
F2A38	QUINTESSENTIAL LATIN LETTER LONG STEM WITH LONG LEG
F2A39	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH LONG LEG
F2A3A	QUINTESSENTIAL LATIN LETTER LONG ARM WITH STEM
F2A3B	QUINTESSENTIAL LATIN LETTER LONG ARM WITH DESCENDER
F2A3C	QUINTESSENTIAL LATIN LETTER LONG ARM WITH TAIL
F2A3D	QUINTESSENTIAL LATIN LETTER LONG ARM WITH ASCENDER
F2A3E	QUINTESSENTIAL LATIN LETTER LONG ARM WITH LONG STEM
F2A3F	QUINTESSENTIAL LATIN LETTER LONG ARM WITH LONG TAIL
F2A40	QUINTESSENTIAL LATIN LETTER STEM WITH LONG OPEN BOWL
F2A41	QUINTESSENTIAL LATIN LETTER ASCENDER WITH LONG OPEN BOWL
